index,quote,tags
405,Wanting to be someone else is a waste of who you are,individuality;inspirational;misattributed;self-acceptance
406,"People where you live,"" the little prince said, ""grow five thousand roses in one garden... yet they don't find what they're looking for..",inspirational
407,I never want to change so much that people can't recognize me.,inspirational
408,"There is nothing more rare, nor more beautiful, than a woman being unapologetically herself; comfortable in her perfect imperfection. To me, that is the true essence of beauty.",be-yourself;beauty;body-image;comfortable;happiness;imperfection;inspirational;life;rare;success;women
409,I never saw a wild thing sorry for itself,inspirational
410,"There is the great lesson of 'Beauty and the Beast,' that a thing must be loved before it is lovable.",fairy-tales;inspirational
411,"Above all else, guard your heart for it affects everything else you do.",bible;god;inspirational;religion
412,"Every day, think as you wake up, today I am fortunate to be alive, I have a precious human life, I am not going to waste it. I am going to use all my energies to develop myself, to expand my heart out to others; to achieve enlightenment for the benefit of all beings. I am going to have kind thoughts towards others, I am not going to get angry or think badly about others. I am going to benefit others as much as I can.",inspirational
413,The best things in life make you sweaty.,inspirational;life;love;meaning-of-life;philosophical;puberty;purpose
414,I live my life in widening circles that reach out across the world.,inspirational;life
415,Be empty of worrying,inspirational
416,A man with outward courage dares to die; a man with inner courage dares to live.,courage;death;inspirational;life;moral-courage;real-life
417,A Penny Saved is a Penny Earned,funny;inspirational;money
418,Death is not the greatest loss in life. The greatest loss is what dies inside while still alive. Never surrender.,inspirational
419,"We are going to die, and that makes us the lucky ones. Most people are never going to die because they are never going to be born. The potential people who could have been here in my place but who will in fact never see the light of day outnumber the sand grains of Arabia. Certainly those unborn ghosts include greater poets than Keats, scientists greater than Newton. We know this because the set of possible people allowed by our DNA so massively exceeds the set of actual people. In the teeth of these stupefying odds it is you and I, in our ordinariness, that are here.We privileged few, who won the lottery of birth against all odds, how dare we whine at our inevitable return to that prior state from which the vast majority have never stirred?",death;inspirational;science;wonder
420,"I think that we are like stars. Something happens to burst us open; but when we burst open and think we are dying; we’re actually turning into a supernova. And then when we look at ourselves again, we see that we’re suddenly more beautiful than we ever were before!",human;humanity;inspirational;inspirational-life;inspirational-quotes;inspiring;life;life-and-living;living;people;self-awareness;stars;strength;supernova;truth
421,"Travel far enough, you meet yourself.",inspirational;travel
422,"If a man is called to be a street sweeper, he should sweep streets even as a Michaelangelo painted, or Beethoven composed music or Shakespeare wrote poetry. He should sweep streets so well that all the hosts of heaven and earth will pause to say, 'Here lived a great street sweeper who did his job well.",excellence;inspirational
423,"Do not seek the because - in love there is no because, no reason, no explanation, no solutions.",inspirational;understanding
424,"When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love ...",carpe-diem;inspirational;life;seize-the-day
425,"I said to my soul, be still and wait without hope, for hope would be hope for the wrong thing; wait without love, for love would be love of the wrong thing; there is yet faith, but the faith and the love are all in the waiting. Wait without thought, for you are not ready for thought: So the darkness shall be the light, and the stillness the dancing.",inspirational;meditation
426,Make the most of yourself....for that is all there is of you.,be-yourself;inspirational;self-improvement
427,"It's okay,” he said. “We're together.” He didn't sa",absence;annabeth-chase;heroes-of-olympus;inspirational;love;percy-jackson;percy-jackson-and-the-olympians;relationship;separation;the-mark-of-athena
428,Believe you can and you're halfway there.,courage;inspirational;self-confidence
429,Many of life's failures are people who did not realize how close they were to success when they gave up.,inspirational;perseverance;tenacity
430,"Life is made of so many moments that mean nothing. Then one day, a single moment comes along to define every second that comes after. Such moments are tests of courage, of strength.",courage;inspirational;strength
431,"Maturity is when you stop complaining and making excuses, and start making changes.",change;choice;choices;excuse;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
432,In the end you should always do the right thing even if it's hard.,character;inspirational;integrity;nobility
433,Life before Death,inspirational;motto
434,Aim higher in case you fall short.,aspirations;goals;inspirational
435,???? ???? ??????...???? ??...???? ????..???? ??????...???? ?????...???? ???? ???? ?????? ????..?? ????? ?? ??? ??? ????? ?? ???? ??? ????? ???? ??????? ,inspirational
436,"Swords can win territories but not hearts, forces can bend heads but not minds.",ahmadiyya;inspirational
437,"The damage was permanent; there would always be scars. But even the angriest scars faded over time until it was difficult to see them written on the skin at all, and the only thing that remained was the memory of how painful it had been.",inspirational;love;pain
438,"Around here, however, we don't look backwards for very long. We keep moving forward, opening up new doors and doing new things, because we're curious...and curiosity keeps leading us down new paths.",creativity;curiosity;inspirational
439,"We are products of our past, but we don't have to be prisoners of it.",change;growth;inspirational;learning-from-mistakes;past
440,"When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.",adversity;challenge;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;keep-going;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;never-give-up;optimism;optimistic;persistence;positive;positive-affirmation;positive-life;positive-thinking
441,Do not go gentle into that good night,death-and-dying;inspirational;philosophy;poetry
442,The greatest thing in the world is to know how to belong to oneself.,ataraxy;independence;individuality;inspirational;self-assurance;self-awareness;self-containment;self-determination;self-esteem;self-reliance;self-respect;self-sufficiency;self-trust;solitude
443,One Choic,inspirational;life
444,Dumbledore will only leave from Hogwarts when there are none loyal to him!,inspirational
445,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living, It's a way of looking at life through the wrong end of a telescope. Which is what I do, And that enables you to laugh at life's realities.",cat-in-the-hat;fantasy;inspirational
446,I may not always be with yo,family;friendship;inspirational;love;poetry;relationships
447,"Go placidly amid the noise and the haste, and remember what peace there may be in silence. As far as possible without surrender, be on good terms with all persons. Speak your truth quietly and clearly, and listen to others, even the dull and ignorant; they too have their story. Be yourself. Especially do not feign affection. Neither be cynical about love – for in the face of all aridity and disenchantment it is perennial as the grass. Take kindly the counsel of the years, gracefully surrendering the things of youth. Nurture strength of spirit to shield you from misfortune. But do not distress yourself with imaginings. Many fears are born of fatigue and loneliness. Beyond a wholesome discipline, be gentle with yourself. You are a child of the universe no less than the trees and the stars; you have a right to be here. And whether or not it is clear to you, no doubt the universe is unfolding as it should. Therefore be at peace with God, whatever you conceive Him to be, and whatever your labours and aspirations, in the noisy confusion of life keep peace with your soul. With all its sham, drudgery and broken dreams, it is still a beautiful world.",advice-for-daily-living;be-yourself;inspirational
448,"Real courage is when you know you're licked before you begin, but you begin anyway and see it through no matter what.",character;courage;inspirational;moral-courage;perseverance;tenacity
449,"We either make ourselves miserable, or we make ourselves strong. The amount of work is the same.",confidence;inspirational
450,The outer world is a reflection of the inner world. Other people’s perception of you is a reflection of them; your response to them is an awareness of you.,authentic-living;awareness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;perception
451,It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.,change;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
452,We meet no ordinary people in our lives.,inspirational
453,Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.,inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;self-awareness;self-worth;strong
454,Music melts all the separate parts of our bodies together.,inspirational
455,There are two ways to reach me: by way of kisses or by way of the imagination. But there is a hierarchy: the kisses alone don't work.,inspirational
456,"Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.",compassion;empathy;inspirational;listening
457,"Those who do not weep, do not see.",crying;inspirational;sorrow
458,"People have to forgive. We don't have to like them, we don't have to be friends with them, we don't have to send them hearts in text messages, but we have to forgive them, to overlook, to forget. Because if we don't we are tying rocks to our feet, too much for our wings to carry!",flying;forgive;forgiveness;forgiving;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspiring;life;life-and-living;living;living-life;tying-rocks-to-our-feet;wings;wisdom-quotes
459,"Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.",happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;mind;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
460,Nothing great was ever achieved without enthusiasm.,inspirational
461,"Be more concerned with your character than your reputation, because your character is what you really are, while your reputation is merely what others think you are.",advice-for-daily-living;character;inspirational;self-image
462,I'd rather learn from one bird how to sin,constructive-living;inspirational
463,"At the end of the day, let there be no excuses, no explanations, no regrets.",appreciation;excuses;gratitude;inspirational;life;motivational;no-regrets;seize-the-day;success
464,Always dream and shoot higher than you know you can do. Do not bother just to be better than your contemporaries or predecessors. Try to be better than yourself.,inspirational;perfectionism;personality;potential;self-improvement
465,I believe there is another world waiting for us. A better world. And I'll be waiting for you there.,cloud-atlas;inspirational;inspirational-quotes;life;science
466,"There's so much to be grateful for, words are poor things.",faith;inspirational
467,"I shall look at you out of the corner of my eye, and you will say nothing. Words are the source of misunderstandings.",communication;inspirational;philosophy
468,Dream as if you will live forever; Live as if you will die today.,advice-for-daily-living;aspirations;carpe-diem;inspirational
469,"Just be yourself, there is no one better.",be-yourself;inspirational
470,There is a way to be good again...,inspirational
471,If your feet are firmly planted on the ground you'll never be able to dance.,inspirational
472,"We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.",inspirational;life;living-now;mistakes;motivational;regret;self-empowerment;struggles
473,"What are you going to do with your life?"" In one way or another it seemed that people had been asking her this forever; teachers, her parents, friends at three in the morning, but the question had never seemed this pressing and still she was no nearer an answer... ""Live each day as if it's your last', that was the conventional advice, but really, who had the energy for that? What if it rained or you felt a bit glandy? It just wasn't practical. Better by far to be good and courageous and bold and to make difference. Not change the world exactly, but the bit around you. Cherish your friends, stay true to your principles, live passionately and fully and well. Experience new things. Love and be loved, if you ever get the chance.",inspirational
474,"Once we accept our limits, we go beyond them.",inspirational;self-improvement;self-knowledge
475,Every man is a damn fool for at least five minutes every day; wisdom consists in not exceeding the limit.,foolishness;inspirational
476,Without fear there cannot be courage.,bravery;courage;fear;inspirational
477,"Scar tissue is stronger than regular tissue. Realize the strength, move on.",inspirational;life
478,"If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.",inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leadership;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;passion;positive;positive-affirmation;positive-life;positive-thinking;purpose
479,"But if I'm it, the last of my kind, the last page of human history, like hell I'm going to let the story end this way. I may be the last one, but I am the one still standing. I am the one turning to face the faceless hunter in the woods on an abandoned highway. I am the one not running but facing. Because if I am the last one, then I am humanity. And if this is humanity's last war, then I am the battlefield.",cassie;human;humanity;inspirational;powerful;survivor
480,"Focus on your strengths, not your weaknesses",authentic-living;being-positive;blessing;blessings;character;focus;inspiration;inspirational;inspirational-quotes;life;life-quotes;motivation;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;reputation;strength;weakness
481,"When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.",boyfriend;girlfriend;inspirational;jealous;life;love;marriage;men;motivational;relationship;women
482,Never stop dreaming,believe;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;learning;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;never-give-up;never-stop-believing;never-stop-dreaming;never-stop-learning;never-stop-trying;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;success
483,"For like a shaft, clear and cold, the thought pierced him that in the end the Shadow was only a small and passing thing: there was light and high beauty for ever beyond its reach.",hope;inspirational
484,"It is always the false that makes you suffer, the false desires and fears, the false values and ideas, the false relationships between people. Abandon the false and you are free of pain; truth makes happy, truth liberates.",inspirational;spiritual;truth
485,"When each day is the same as the next, it’s because people fail to recognize the good things that happen in their lives every day that the sun rises.",inspirational
486,My heart is warm with the friends I make,friends;inspirational;train
487,Those who look for the bad in people will surely find it.,inspirational
488,Fiction is art and art is the triumph over chaos… to celebrate a world that lies spread out around us like a bewildering and stupendous dream.,books;fiction;inspirational;on-fiction;writing
489,I dreamed I spoke in another's language,inspirational;love;poetry
490,"What would come, would come...and you would have to meet it, when it did.",inspirational;life;que-sera-sera
491,I'd rather be a rising ape than a falling angel.,humour;inspirational
492,Resentment is like drinking poison and then hoping it will kill your enemies.,forgiveness;inspirational
493,"I learned this, at least, by my experiment; that if one advances confidently in the direction of his dreams, and endeavors to live the life which he has imagined, he will meet with a success unexpected in common hours..",confidence;dreams;inspirational;life
494,"Amateurs sit and wait for inspiration, the rest of us just get up and go to work.",inspirational;productivity;writing
495,Go into yourself. Find out the reason that commands you to write; see whether it has spread its roots into the very depths of your heart; confess to yourself whether you would have to die if you were forbidden to write,act-of-creation;art;creativity;inspirational;poetry;writing
496,"You've got this life and while you've got it, you'd better kiss like you only have one moment, try to hold someone's hand like you will never get another chance to, look into people's eyes like they're the last you'll ever see, watch someone sleeping like there's no time left, jump if you feel like jumping, run if you feel like running, play music in your head when there is none, and eat cake like it's the only one left in the world!",cake;inspirational;inspirational-life;inspirational-quotes;inspiring;kissing;life-and-living;living;music;passion
497,You must learn to let go. Release the stress. You were never in control anyway.,control;inspirational;letting-go;life;motivational;stress
498,"We have to create culture, don't watch TV, don't read magazines, don't even listen to NPR. Create your own roadshow. The nexus of space and time where you are now is the most immediate sector of your universe, and if you're worrying about Michael Jackson or Bill Clinton or somebody else, then you are disempowered, you're giving it all away to icons, icons which are maintained by an electronic media so that you want to dress like X or have lips like Y. This is shit-brained, this kind of thinking. That is all cultural diversion, and what is real is you and your friends and your associations, your highs, your orgasms, your hopes, your plans, your fears. And we are told 'no', we're unimportant, we're peripheral. 'Get a degree, get a job, get a this, get a that.' And then you're a player, you don't want to even play in that game. You want to reclaim your mind and get it out of the hands of the cultural engineers who want to turn you into a half-baked moron consuming all this trash that's being manufactured out of the bones of a dying world.",consumerism;culture;inspirational;life;tv;wisdom
499,Man cannot discover new oceans unless he has the courage to lose sight of the shore.,courage;daring;discovery;exploration;inspirational
500,"I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.",breakup;commit;deserve;goodbye;happiness;inspirational;life;love;motivational;relationship;respect
501,What a large volume of adventures may be grasped within the span of his little life by him who interests his heart in everything.,curiosity;inspirational
502,"It is not death that a man should fear, but he should fear never beginning to live.",death;fear;inspirational
503,"If you dare nothing, then when the day is over, nothing is all you will have gained.",inspirational
504,"Equality is not a concept. It's not something we should be striving for. It's a necessity. Equality is like gravity. We need it to stand on this earth as men and women, and the misogyny that is in every culture is not a true part of the human condition. It is life out of balance, and that imbalance is sucking something out of the soul of every man and woman who's confronted with it. We need equality. Kinda now.",equality;fairness;feminism;freedom-of-choice;inspirational;truth
505,"If you are lazy, and accept your lot, you may live in it. If you are willing to work, you can write your name anywhere you choose.",industriousness;inspirational
506,Those who bring sunshine to the lives of others cannot keep it from themselves.,inspirational
507,A goal without a plan is just a wish.,enterprise;humor;inspirational;planning
508,For myself I am an optimist - it does not seem to be much use to be anything else.,inspirational;optimism
509,"Whatever the mind can conceive and believe, it can achieve.",inspirational;motivational;success
510,Smile more. Smiling can make you and others happy.,happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile
511,What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.,inspiration;inspirational;inspirational-quotes;inspire;inspiring;keep-going;keep-moving-forward;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
512,"The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.",dream;dreams;dreams-quotes;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;mind;mind-quotes;motivation;motivational;obstacle;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;success;success-quotes
513,Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.,arrogance;compliment;criticism;despair;failure;heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;success
514,"After all,"" Anne had said to Marilla once, ""I believe the nicest and sweetest days are not those on which anything very splendid or wonderful or exciting happens but just those that bring simple little pleasures, following one another softly, like pearls slipping off a string.",home;inspirational;pearls;pleasures;simple
515,Be like the sun for grace and mercy. Be like the night to cover others' faults. Be like running water for generosity. Be like death for rage and anger. Be like the Earth for modesty. Appear as you are. Be as you appear.,inspirational
516,"I was suffering the easily foreseeable consequences. Addiction is the hallmark of every infatuation-based love story. It all begins when the object of your adoration bestows upon you a heady, hallucinogenic dose of something you never dared to admit you wanted-an emotional speedball, perhaps, of thunderous love and roiling excitement. Soon you start craving that intense attention, with a hungry obsession of any junkie. When the drug is witheld, you promptly turn sick, crazy, and depleted (not to mention resentful of the dealer who encouraged this addiction in the first place but now refuses to pony up the good stuff anymore-- despite the fact that you know he has it hidden somewhere, goddamn it, because he used to give it to you for free). Next stage finds you skinny and shaking in a corner, certain only that you would sell your soul or rob your neighbors just to have 'that thing' even one more time. Meanwhile, the object of your adoration has now become repulsed by you. He looks at you like you're someone he's never met before, much less someone he once loved with high passion. The irony is,you can hardly blame him. I mean, check yourself out. You're a pathetic mess,unrecognizable even to your own eyes. So that's it. You have now reached infatuation's final destination-- the complete and merciless devaluation of self."" - pg 20-21",heartache;inspirational;relationships
517,The great thing to remember is that though our feelings come and go God's love for us does not.,god;inspirational;love
518,Nothing can disturb your peace of mind unless you allow it to.,inner-peace;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;peace-of-mind;positive;positive-affirmation;positive-life;positive-thinking
519,"Any emotion, if it is sincere, is involuntary.",inspirational
520,"It is by no means an irrational fancy that, in a future existence, we shall look upon what we think our present existence, as a dream.",age;dark;dreaming;dreams;future;inspirational;past;time
521,"Responsibility to yourself means refusing to let others do your thinking, talking, and naming for you...it means that you do not treat your body as a commodity with which to purchase superficial intimacy or economic security; for our bodies to be treated as objects, our minds are in mortal danger. It means insisting that those to whom you give your friendship and love are able to respect your mind. It means being able to say, with Charlotte Bronte's Jane Eyre: ""I have an inward treasure born with me, which can keep me alive if all the extraneous delights should be withheld or offered only at a price I cannot afford to give",feminism;inspirational
522,"And out of that hopeless attempt has come nearly all that we call human history—money, poverty, ambition, war, prostitution, classes, empires, slavery—the long terrible story of man trying to find something other than God which will make him happy.",c-s-lewis;god;human;inspirational;mere-christianity;religious;slavery
523,"Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.",action;authenticity;gratitude;hard-work;inspirational;life;life-lessons;motivational;success
524,"The strongest people find the courage and caring to help others, even if they are going through their own storm.",courage;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;strong
525,???????? ??? ?? ??? ????? ????? .. ????? ?? ??? ????? ?????,inspirational;life
526,"If you do follow your bliss you put yourself on a kind of track that has been there all the while, waiting for you, and the life that you ought to be living is the one you are living. Follow your bliss and don't be afraid, and doors will open where you didn't know they were going to be.",follow-your-bliss;inspirational;self-actualization
527,"We come spinning out of nothingness, scattering stars like dust.",inspirational
528,"I thank you God for this most amazing day, for the leaping greenly spirits of trees, and for the blue dream of sky and for everything which is natural, which is infinite, which is yes.",inspirational
529,Kindness is not a business. True kindness expects nothing in return and should never act with conditions.,inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;kindness;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
530,Luck is what happens when preparation meets opportunity.,inspirational
531,"What you have to decide... is how you want your life to be. If your forever was ending tomorrow, would this be how you'd want to have spent it? Listen, the truth is, nothing is guaranteed. You know that more than anybody. So dont be afraid. Be alive.",enjoy-life;inspirational;self-actualization
532,Don't ever take a fence down until you know why it was put up.,advice;caution;cautionary;inspirational
533,Getting something and having the wits to use it...those are two different things.,inspirational;wits
534,"If I am to be fallen into love, I will. And if as a result I will appear to be stupid, disillusioned, and of poor judgment, I will. And I would be damned if I cared what other people think. For I would rather be thought of as all of these things, than not love. If in loving, I become the naked woman on the horse, I will ride that horse with my head held high. This is my spirit. I am unbreakable.",bravery;courage;fearless;fight-for-love;human;inspirational;inspirational-love;inspirational-quotes;inspiring;love;passion;passionate-life;passionate-love;strength;unbreakable;unbreakable-spirit
535,Oh the places you'll go! There is fun to be done! There are points to be scored. There are games to be won. And the magical things you can do with that ball will make you the winning-est winner of all.,anticipation;inspirational;life;self-determination;self-reliance
536,"I never said it would be easy, I only said it would be worth it.",inspirational;religious
537,Do all the good you can,advice-for-daily-living;christian-living;inspirational
538,"We’re here, and then we’re gone, and it’s not about the time we’re here, but what we do with the time.",inspirational;life
539,Our life is what our thoughts make it.,attitude;inspirational;life
540,Sometimes all a person wants is an empathetic ear; all he or she needs is to talk it out. Just offering a listening ear and an understanding heart for his or her suffering can be a big comfort.,empathy;heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;listening;listening-ear;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;understanding
541,"Everyone you meet is a part of your journey, but not all of them are meant to stay in your life. Some people are just passing through to bring you gifts; either they're blessings or lessons.",blessing;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
542,"Count your blessings, not your problems. Count your own blessings, not someone else's. Remember that jealousy is when you count someone else's blessings instead of your own.",blessings;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
543,"A smile puts you on the right track. A smile makes the world a beautiful place. When you lose your smile, you lose your way in the chaos of life.",happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile;smiles;smiling
544,Patience Is Not the Ability to Wait,calm;faith;growth;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;opportunity;optimism;optimistic;patience;positive;positive-affirmation;positive-life;positive-thinking
545,Guard well your thoughts when alone and your words when accompanied.,inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;thoughts;wisdom;wise;words;words-of-wisdom
546,"Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.",gratitude;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;light;live-life-to-the-fullest;living;love;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
547,"You are unique. You have different talents and abilities. You don’t have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.",ability;be-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;talent
548,"Don’t ask what the world needs. Ask what makes you come alive, and go do it. Because what the world needs is people who have come alive.",inspirational
549,"I'm not in search of sanctity, sacredness, purity; these things are found after this life, not in this life; but in this life I search to be completely human: to feel, to give, to take, to laugh, to get lost, to be found, to dance, to love and to lust, to be so human.",dancing;feeling;human;human-nature;humanism;humanity;inspiration;inspirational;inspirational-life;inspirational-quotes;life;life-and-living;living;living-life;passion;purity;sacredness;sanctity
550,A mathematical formula for happiness:Reality divided by Expectations.There were two ways to be happy:improve your reality or lower your expectations.,advice;happiness;inspirational;mathematical
551,"Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.",courage;fear;fearless;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
552,Live the Life of Your Dream,achievement;act;action;being-positive;belief;believe-in-yourself;do;doing;dreams;hard-work;inspiration;inspirational;life;live;living;living-life;mistakes;motivation;motivational;obstacles;optimism;optimistic;perseverance;positive;positive-affirmation;positive-life;positive-thinking;self-belief;setbacks;start;startup
553,"My father had taught me to be nice first, because you can always be mean later, but once you've been mean to someone, they won't believe the nice anymore. So be nice, be nice, until it's time to stop being nice, then destroy them.",inspirational;life;meredith-gentry;nice
554,"But remember, boy, that a kind act can sometimes be as powerful as a sword.",inspirational;kind;kindness;powerful;sword
555,Never dull your shine for somebody else.,be-yourself;confidence;inspirational;self-expression;shine
556,You are in charge of your own happiness; you don't need to wait for other people's permission to be happy.,happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
557,There's more to life than dating the boy on the football team.,inspirational
558,People don't realize how a man's whole life can be changed by one book.,books;inspirational;literacy;religious
559,"Perfectionism is the enemy of happiness. Embrace being perfectly imperfect. Learn from your mistakes and forgive yourself, you’ll be happier. We make mistakes because we are imperfect. Learn from your mistakes, forgive yourself, and keep moving forward.",happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;learning;life;life-and-living;life-lessons;life-quotes;living;mistake;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking
560,"With all its sham, drudgery, and broken dreams",happiness;inspirational;philosophical
561,Government exists to protect us from each other. Where government has gone beyond its limits is in deciding to protect us from ourselves.,freedom-of-choice;government;inspirational;political-philosophy;politics
562,"However mean your life is, meet it and live it; do not shun it and call it hard names. It is not so bad as you are. It looks poorest when you are richest. The fault-finder will find faults even in paradise. Love your life, poor as it is. You may perhaps have some pleasant, thrilling, glorious hours, even in a poorhouse",adversity;hard-times;inspiration;inspirational;life;motivational
563,I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character.,character;dream;inspirational;prejudice;race
